2026-05-30 20:49:54,985 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-05-30 20:49:54,986 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_info("categoria")
2026-05-30 20:49:54,987 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 20:49:54,988 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_info("cliente")
2026-05-30 20:49:54,989 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 20:49:54,990 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_info("endereco")
2026-05-30 20:49:54,990 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 20:49:54,992 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_info("entrega")
2026-05-30 20:49:54,992 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 20:49:54,994 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_info("item_pedido")
2026-05-30 20:49:54,994 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 20:49:54,996 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_info("motorista")
2026-05-30 20:49:55,000 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 20:49:55,001 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_info("pedido")
2026-05-30 20:49:55,002 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 20:49:55,003 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_info("produto")
2026-05-30 20:49:55,004 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 20:49:55,005 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_info("veiculo")
2026-05-30 20:49:55,006 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 20:49:55,007 | INFO | sqlalchemy.engine.Engine | COMMIT
2026-05-30 20:52:29,483 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-05-30 20:52:29,484 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_info("categoria")
2026-05-30 20:52:29,484 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 20:52:29,487 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_info("cliente")
2026-05-30 20:52:29,487 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
